Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq,semantic
0.0,0.0,15.0,0.0,15,137,0.0,1125315 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.0,0.0,18.0,0.0,18,137,0.0,1308216 -1 1125315 1174888 -1  -2 ,'Lisinopril' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.0,0.0,24.0,0.0,24,137,0.0,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
0.0,0.0,14.0,0.0,14,137,0.0,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
0.0,0.0,15.0,0.0,15,137,0.0,1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 -2 
0.0,0.0,17.0,0.0,17,137,0.0,956874 -1 1125315 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 -2 
0.0,0.0,16.0,0.0,16,137,0.0,956874 -1 1153013 -1  -2 ,'Furosemide' -1 'Promethazine' -1 -2 
0.0,0.0,15.0,0.0,15,137,0.0,1000560 -1 1126658 -1  -2 ,'Ondansetron' -1 'Hydromorphone' -1 -2 
0.0,0.0,16.0,0.0,16,137,0.0,1174888 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 -2 
0.0,0.0,15.0,0.0,15,137,0.0,1307046 -1 1125315 -1  -2 ,'Metoprolol' -1 'Acetaminophen' -1 -2 
0.0,0.0,16.0,0.0,16,137,0.0,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
0.0,0.0,15.0,0.0,15,137,0.0,956874 -1 19121608 -1  -2 ,'Furosemide' -1 'Influenza virus vaccine' -1 -2 
0.0,0.0,14.0,0.0,14,137,0.0,744740 -1  -2 ,'zolpidem' -1 -2 
0.0,0.0,18.0,0.0,18,137,0.0,781039 -1  -2 ,'Alprazolam' -1 -2 
0.0,0.0,19.0,0.0,19,137,0.0,791967 -1  -2 ,'Lorazepam' -1 -2 
0.0,0.0,17.0,0.0,17,137,0.0,797399 -1  -2 ,'gabapentin' -1 -2 
0.0,0.0,14.0,0.0,14,137,0.0,903963 -1  -2 ,'Triamcinolone' -1 -2 
0.0,0.0,14.0,0.0,14,137,0.0,906780 -1  -2 ,'Metoclopramide' -1 -2 
0.0,0.0,19.0,0.0,19,137,0.0,948078 -1  -2 ,'pantoprazole' -1 -2 
0.0,0.0,14.0,0.0,14,137,0.0,952004 -1  -2 ,'sevelamer' -1 -2 
0.0,0.0,17.0,0.0,17,137,0.0,989878 -1  -2 ,'Lidocaine' -1 -2 
0.0,0.0,27.0,0.0,27,137,0.0,1110410 -1  -2 ,'Morphine' -1 -2 
0.0,0.0,20.0,0.0,20,137,0.0,1124957 -1  -2 ,'Oxycodone' -1 -2 
0.0,0.0,19.0,0.0,19,137,0.0,1149380 -1  -2 ,'fluticasone' -1 -2 
0.0,0.0,25.0,0.0,25,137,0.0,1154343 -1  -2 ,'Albuterol' -1 -2 
0.0,0.0,15.0,0.0,15,137,0.0,1301025 -1  -2 ,'Enoxaparin' -1 -2 
0.0,0.0,18.0,0.0,18,137,0.0,1310149 -1  -2 ,'Warfarin' -1 -2 
0.0,0.0,24.0,0.0,24,137,0.0,1346823 -1  -2 ,'carvedilol' -1 -2 
0.0,0.0,17.0,0.0,17,137,0.0,1377898 -1  -2 ,'Iron polysaccharide' -1 -2 
0.0,0.0,25.0,0.0,25,137,0.0,1502905 -1  -2 ,'Insulin. Glargine. Human' -1 -2 
0.0,0.0,21.0,0.0,21,137,0.0,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
0.0,0.0,22.0,0.0,22,137,0.0,1551099 -1  -2 ,'Prednisone' -1 -2 
0.0,0.0,18.0,0.0,18,137,0.0,1707687 -1  -2 ,'Vancomycin' -1 -2 
0.0,0.0,28.0,0.0,28,137,0.0,1742253 -1  -2 ,'Levofloxacin' -1 -2 
0.0,0.0,14.0,0.0,14,137,0.0,1777806 -1  -2 ,'Ceftriaxone' -1 -2 
0.0,0.0,25.0,0.0,25,137,0.0,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
0.0,0.0,26.0,0.0,26,137,0.0,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
